总台,#genre#
延边2台, https://live.ybtvyun.com/video/s10006-b2a0645a8070/index.m3u8
延边.珲春, http://stream8.jlntv.cn/hctv/sd/live.m3u8

江苏,#genre#
优漫卡通, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225665/index.m3u8
南京新闻综合, http://live.nbs.cn/channels/njtv/xwzh/nbs06.m3u8
南京教科, http://live.nbs.cn/channels/njtv/jkpd/nbs06.m3u8
南京.江宁综合, http://jiangning-tv-hls.cm.jstv.com/jiangning-tv/jnxwzh.m3u8
常州.金坛新闻, http://jintan-tv-ori-hls.jstv.com/jintan-tv-ori/jintan_xw.m3u8
常州.武进新闻, https://live.wjyanghu.com/live/CH1.m3u8
